date,team,season,opponent,attendance,result,runs_scored,runs_allowed,month,day_of_week,is_weekend,is_opening_day,is_rival,is_playoff_race,game_number
2019-04-05,ARI,2019,BOS,48338.0,W,15.0,8.0,4,4,1,1,0,0,1
2019-04-06,ARI,2019,BOS,35969.0,W-wo,5.0,4.0,4,5,1,0,0,0,2
2019-04-07,ARI,2019,BOS,31565.0,L,0.0,1.0,4,6,1,0,0,0,3
2019-04-09,ARI,2019,TEX,16620.0,W-wo,5.0,4.0,4,1,0,0,0,0,4
2019-04-10,ARI,2019,TEX,15871.0,L,2.0,5.0,4,2,0,0,0,0,5
2019-04-11,ARI,2019,SDP,15449.0,L,6.0,7.0,4,3,0,0,0,0,6
2019-04-12,ARI,2019,SDP,22209.0,L,1.0,2.0,4,4,1,0,0,0,7
2019-04-13,ARI,2019,SDP,27256.0,L,4.0,5.0,4,5,1,0,0,0,8
2019-04-14,ARI,2019,SDP,25489.0,W,8.0,4.0,4,6,1,0,0,0,9
2019-04-26,ARI,2019,CHC,30664.0,W,8.0,3.0,4,4,1,0,0,0,10
2019-04-27,ARI,2019,CHC,27793.0,L,1.0,9.0,4,5,1,0,0,0,11
2019-04-28,ARI,2019,CHC,29477.0,L,5.0,6.0,4,6,1,0,0,0,12
2019-04-30,ARI,2019,NYY,36352.0,W,3.0,1.0,4,1,0,0,0,0,13
2019-05-01,ARI,2019,NYY,31365.0,W,3.0,2.0,5,2,0,0,0,0,14
2019-05-09,ARI,2019,ATL,17751.0,W-wo,3.0,2.0,5,3,0,0,0,0,15
2019-05-10,ARI,2019,ATL,21932.0,L,1.0,2.0,5,4,1,0,0,0,16
2019-05-11,ARI,2019,ATL,33168.0,L,4.0,6.0,5,5,1,0,0,0,17
2019-05-12,ARI,2019,ATL,27460.0,L,3.0,5.0,5,6,1,0,0,0,18
2019-05-13,ARI,2019,PIT,15418.0,W,9.0,3.0,5,0,0,0,0,0,19
2019-05-14,ARI,2019,PIT,21047.0,L,2.0,6.0,5,1,0,0,0,0,20
2019-05-15,ARI,2019,PIT,17258.0,W,11.0,1.0,5,2,0,0,0,0,21
2019-05-17,ARI,2019,SFG,26806.0,W,7.0,0.0,5,4,1,0,0,0,22
2019-05-18,ARI,2019,SFG,25014.0,L,5.0,8.0,5,5,1,0,0,0,23
2019-05-19,ARI,2019,SFG,24061.0,L,2.0,3.0,5,6,1,0,0,0,24
2019-05-31,ARI,2019,NYM,24664.0,L,4.0,5.0,5,4,1,0,0,0,25
2019-06-01,ARI,2019,NYM,34888.0,W-wo,6.0,5.0,6,5,1,0,0,0,26
2019-06-02,ARI,2019,NYM,26945.0,W,7.0,1.0,6,6,1,0,0,0,27
2019-06-03,ARI,2019,LAD,24124.0,L,1.0,3.0,6,0,0,0,0,0,28
2019-06-04,ARI,2019,LAD,29784.0,L,0.0,9.0,6,1,0,0,0,0,29
2019-06-05,ARI,2019,LAD,22753.0,W-wo,3.0,2.0,6,2,0,0,0,0,30
2019-06-18,ARI,2019,COL,22954.0,L,1.0,8.0,6,1,0,0,0,0,31
2019-06-19,ARI,2019,COL,21773.0,L,4.0,6.0,6,2,0,0,0,0,32
2019-06-20,ARI,2019,COL,23294.0,L,4.0,6.0,6,3,0,0,0,0,33
2019-06-21,ARI,2019,SFG,29312.0,L,5.0,11.0,6,4,1,0,0,0,34
2019-06-22,ARI,2019,SFG,32082.0,L,4.0,7.0,6,5,1,0,0,0,35
2019-06-23,ARI,2019,SFG,25071.0,W-wo,3.0,2.0,6,6,1,0,0,0,36
