date,team,season,opponent,attendance,result,runs_scored,runs_allowed,month,day_of_week,is_weekend,is_opening_day,is_rival,is_playoff_race,game_number,result_binary,home_win_pct_20g,run_diff,run_diff_10g,win_streak,days_since_last_home,is_july4_week,is_memorial_day_week,is_labor_day_week,season_progress,market_size,is_promo_night,is_fireworks,team_encoded,spend_paid_social,spend_email,spend_broadcast,spend_ooh,spend_total
2019-04-05,ARI,2019,BOS,48338.0,W,15.0,8.0,4,4,1,1,0,0,1,1.0,0.5,7.0,0.0,1,3.0,0,0,0,0.0123456790123456,1,1.0,0,0,2889.681160365869,417.641162712997,4510.524557300368,1349.343797900732,9167.190678279965
2019-04-06,ARI,2019,BOS,35969.0,W-wo,5.0,4.0,4,5,1,0,0,0,2,1.0,0.5,1.0,0.0,2,1.0,0,0,0,0.0246913580246913,1,0.0,0,0,502.59199087283525,79.89746729030051,1048.276125738432,168.65234156965207,1799.4179254712199
2019-04-07,ARI,2019,BOS,31565.0,L,0.0,1.0,4,6,1,0,0,0,3,0.0,0.5,-1.0,0.0,-1,1.0,0,0,0,0.037037037037037,1,0.0,0,0,523.4221585231618,74.89661452761828,1091.614480419968,170.35037075921645,1860.2836242299645
2019-04-09,ARI,2019,TEX,16620.0,W-wo,5.0,4.0,4,1,0,0,0,0,4,1.0,0.5,1.0,2.3333333333333335,1,2.0,0,0,0,0.0493827160493827,1,0.0,0,0,225.84013878201253,44.59454772852775,1005.2177846367152,194.52720778086692,1470.1796789281225
2019-04-10,ARI,2019,TEX,15871.0,L,2.0,5.0,4,2,0,0,0,0,5,0.0,0.5,-3.0,2.0,-1,1.0,0,0,0,0.0617283950617283,1,1.0,0,0,802.3336523293627,217.2471289787693,1080.4731420542741,516.6205738089908,2616.674497171397
2019-04-11,ARI,2019,SDP,15449.0,L,6.0,7.0,4,3,0,0,0,0,6,0.0,0.6,-1.0,1.0,-2,1.0,0,0,0,0.074074074074074,1,0.0,0,0,208.90684818350937,45.099009490652435,988.1411466482248,215.2073413133167,1457.3543456357033
2019-04-12,ARI,2019,SDP,22209.0,L,1.0,2.0,4,4,1,0,0,0,7,0.0,0.5,-1.0,0.6666666666666666,-3,1.0,0,0,0,0.0864197530864197,1,0.0,0,0,522.0142672127492,83.6338199531565,1044.717760459746,205.07559462733334,1855.441442252985
2019-04-13,ARI,2019,SDP,27256.0,L,4.0,5.0,4,5,1,0,0,0,8,0.0,0.4285714285714285,-1.0,0.4285714285714285,-4,1.0,0,0,0,0.0987654320987654,1,0.0,0,0,448.76694343696033,80.57056908308546,1043.6387336248536,259.20771567676104,1832.1839618216604
2019-04-14,ARI,2019,SDP,25489.0,W,8.0,4.0,4,6,1,0,0,0,9,1.0,0.375,4.0,0.25,1,1.0,0,0,0,0.1111111111111111,1,0.0,0,0,564.5530406641954,84.43880974838726,1094.8600751515783,206.3953184519734,1950.2472440161343
2019-04-26,ARI,2019,CHC,30664.0,W,8.0,3.0,4,4,1,0,0,0,10,1.0,0.4444444444444444,5.0,0.6666666666666666,2,12.0,0,0,0,0.1234567901234567,1,0.0,0,0,547.1307432308532,68.62652148426412,1051.981149496114,219.40030889946843,1887.1387231106999
2019-04-27,ARI,2019,CHC,27793.0,L,1.0,9.0,4,5,1,0,0,0,11,0.0,0.5,-8.0,1.1,-1,1.0,0,0,0,0.1358024691358024,1,1.0,0,0,1122.3927090725545,237.28915996730987,1029.4069387645388,516.4017316220933,2905.4905394264965
2019-04-28,ARI,2019,CHC,29477.0,L,5.0,6.0,4,6,1,0,0,0,12,0.0,0.4545454545454545,-1.0,-0.4,-2,1.0,0,0,0,0.1481481481481481,1,0.0,0,0,514.8868918645288,67.27193068000918,1104.0895276388396,192.83470364487667,1879.0830538282544
2019-04-30,ARI,2019,NYY,36352.0,W,3.0,1.0,4,1,0,0,0,0,13,1.0,0.4166666666666667,2.0,-0.6,1,2.0,0,0,0,0.1604938271604938,1,1.0,0,0,856.3857072417621,212.34660114400916,1113.009220631244,521.643343542539,2703.3848725595544
2019-05-01,ARI,2019,NYY,31365.0,W,3.0,2.0,5,2,0,0,0,0,14,1.0,0.4615384615384615,1.0,-0.3,2,1.0,0,0,0,0.1728395061728395,1,0.0,0,0,197.9052616441845,40.23977038995847,1026.5492213449381,234.98705592330015,1499.6813093023814
2019-05-09,ARI,2019,ATL,17751.0,W-wo,3.0,2.0,5,3,0,0,0,0,15,1.0,0.5,1.0,-0.3,3,8.0,0,0,0,0.1851851851851851,1,0.0,0,0,198.68238061006738,47.48835222723653,1078.4635541089963,181.63514044518712,1506.2694273914872
2019-05-10,ARI,2019,ATL,21932.0,L,1.0,2.0,5,4,1,0,0,0,16,0.0,0.5333333333333333,-1.0,0.1,-1,1.0,0,0,0,0.1975308641975308,1,0.0,0,0,461.35811006971306,77.16349141373415,1035.612093120668,153.54348077617422,1727.6771753802893
2019-05-11,ARI,2019,ATL,33168.0,L,4.0,6.0,5,5,1,0,0,0,17,0.0,0.5,-2.0,0.1,-2,1.0,0,0,0,0.2098765432098765,1,0.0,1,0,545.2130100188728,75.9729156377818,1058.5578107299307,184.98448867622918,1864.7282250628143
2019-05-12,ARI,2019,ATL,27460.0,L,3.0,5.0,5,6,1,0,0,0,18,0.0,0.4705882352941176,-2.0,0.0,-3,1.0,0,0,0,0.2222222222222222,1,0.0,1,0,527.225229923448,88.64673592996856,1062.1243827562382,229.69361478969319,1907.689963399348
2019-05-13,ARI,2019,PIT,15418.0,W,9.0,3.0,5,0,0,0,0,0,19,1.0,0.4444444444444444,6.0,-0.1,1,1.0,0,0,0,0.2345679012345679,1,1.0,0,0,846.7449015937173,212.61874785058657,1004.5142719106636,496.9877673087687,2560.865688663736
2019-05-14,ARI,2019,PIT,21047.0,L,2.0,6.0,5,1,0,0,0,0,20,0.0,0.4736842105263157,-4.0,0.1,-1,1.0,0,0,0,0.2469135802469135,1,0.0,0,0,145.06663331649514,41.59640212587846,1054.8615098326547,217.4272321545587,1458.9517774295869
2019-05-15,ARI,2019,PIT,17258.0,W,11.0,1.0,5,2,0,0,0,0,21,1.0,0.45,10.0,-0.8,1,1.0,0,0,0,0.2592592592592592,1,0.0,0,0,277.760595188209,35.5987254733592,1012.5429770959685,247.5617339498201,1573.4640317073568
2019-05-17,ARI,2019,SFG,26806.0,W,7.0,0.0,5,4,1,0,0,0,22,1.0,0.45,7.0,1.0,2,2.0,0,0,0,0.2716049382716049,1,0.0,0,0,528.4971406388389,82.63472230520787,1015.2676430750068,226.11295386115768,1852.5124598802113
2019-05-18,ARI,2019,SFG,25014.0,L,5.0,8.0,5,5,1,0,0,0,23,0.0,0.45,-3.0,1.8,-1,1.0,0,0,0,0.2839506172839506,1,1.0,0,0,1132.3446398560648,248.20099363752,1035.2509646092967,470.78549873247937,2886.582096835361
